Date,Parity_Rate,Band_Upper,Band_Lower
2010-01-01,6.8273,6.963846,6.690754
2010-02-01,6.827,6.96354,6.69046
2010-03-01,6.8264,6.962928,6.689871999999999
2010-04-01,6.8262,6.962724000000001,6.6896759999999995
2010-05-01,6.8274,6.963948,6.690852
2010-06-01,6.8165,6.95283,6.6801699999999995
2010-07-01,6.7775,6.91305,6.64195
2010-08-01,6.7901,6.925902,6.654298
2010-09-01,6.7462,6.881124,6.611276
2010-10-01,6.6732,6.806664,6.5397359999999995
2010-11-01,6.6558,6.788916,6.522684
2010-12-01,6.6515,6.78453,6.518470000000001
2011-01-01,6.6027,6.734754,6.4706459999999995
2011-02-01,6.5831,6.714762,6.451438
2011-03-01,6.5662,6.6975240000000005,6.434876
2011-04-01,6.5292,6.659784,6.3986160000000005
2011-05-01,6.4988,6.628776,6.368824
2011-06-01,6.4778,6.607356,6.348244
2011-07-01,6.4614,6.590628000000001,6.332172
2011-08-01,6.409,6.53718,6.280819999999999
2011-09-01,6.3833,6.510966000000001,6.255634
2011-10-01,6.3566,6.483732000000001,6.229468
2011-11-01,6.3408,6.467616,6.213984
2011-12-01,6.3281,6.454662,6.201538
2012-01-01,6.3168,6.443136,6.1904639999999995
2012-02-01,6.3,6.426,6.1739999999999995
2012-03-01,6.3081,6.4342619999999995,6.181938
2012-04-01,6.2966,6.4225319999999995,6.170668
2012-05-01,6.3062,6.4323239999999995,6.180076
2012-06-01,6.3178,6.444156,6.191444
2012-07-01,6.3235,6.44997,6.19703
2012-08-01,6.3404,6.467208,6.213591999999999
2012-09-01,6.3395,6.46629,6.21271
2012-10-01,6.3144,6.440688,6.188112
2012-11-01,6.2953,6.421206000000001,6.169394
2012-12-01,6.29,6.4158,6.1642
2013-01-01,6.2787,6.404274,6.153125999999999
2013-02-01,6.2842,6.409884,6.1585160000000005
2013-03-01,6.2743,6.399786000000001,6.148814
2013-04-01,6.2471,6.3720419999999995,6.122158
2013-05-01,6.197,6.32094,6.07306
2013-06-01,6.1718,6.295236,6.048364
2013-07-01,6.1725,6.29595,6.04905
2013-08-01,6.1708,6.294216,6.047384
2013-09-01,6.1588,6.281976,6.035624
2013-10-01,6.1393,6.262086000000001,6.016514
2013-11-01,6.1372,6.259944,6.014456
2013-12-01,6.116,6.23832,5.9936799999999995
2014-01-01,6.1043,6.226386000000001,5.982214
2014-02-01,6.1128,6.235056,5.990544
2014-03-01,6.1358,6.258516,6.013083999999999
2014-04-01,6.1553,6.278406,6.0321940000000005
2014-05-01,6.1636,6.286872,6.040328
2014-06-01,6.1557,6.278814000000001,6.032586
2014-07-01,6.1569,6.280038,6.033762
2014-08-01,6.1606,6.283812,6.037387999999999
